entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
2015/03/12,54.17,2015/03/16,54.38,0.21000000000000085,0.38766845117223714,1.0038766845117224,5.000000000000001,,0.07753369023444741,1,exit-rule,51.4615,,
2015/03/31,55.5,2015/04/07,55.76,0.259999999999998,0.4684684684684649,1.0046846846846846,4.999999999999997,,0.09369369369369303,2,exit-rule,52.725,,
2015/04/20,54.99,2015/04/27,55.86,0.8699999999999974,1.5821058374249817,1.0158210583742497,4.999999999999996,,0.3164211674849966,4,exit-rule,52.240500000000004,,
2015/04/30,54.37,2015/05/27,54.23,-0.14000000000000057,-0.2574949420636391,0.9974250505793636,4.999999999999998,,-0.05149898841272784,18,exit-rule,51.6515,,
2015/05/29,54.26,2015/06/10,51.547,-2.713000000000001,-5.000000000000002,0.95,5.000000000000002,,-1,6,stop-loss,51.547,,
2015/06/12,52.49,2015/06/24,53.77,1.2800000000000011,2.4385597256620333,1.0243855972566203,4.999999999999996,,0.48771194513240707,7,exit-rule,49.865500000000004,,
2015/06/29,51.52,2015/07/16,52.95,1.4299999999999997,2.7756211180124217,1.0277562111801242,5.000000000000001,,0.5551242236024843,12,exit-rule,48.944,,
2015/07/24,51.87,2015/07/30,52.8,0.9299999999999997,1.7929438982070556,1.0179294389820706,4.999999999999998,,0.3585887796414113,3,exit-rule,49.2765,,
2015/08/10,50.99,2015/08/24,48.4405,-2.549500000000002,-5.0000000000000036,0.95,5.0000000000000036,,-1,9,stop-loss,48.4405,,
2015/08/26,47.31,2015/09/21,48.09,0.7800000000000011,1.6487000634115432,1.0164870006341153,4.999999999999994,,0.329740012682309,17,exit-rule,44.944500000000005,,
2015/09/23,47.64,2015/09/29,47.37,-0.2700000000000031,-0.5667506297229284,0.9943324937027708,4.999999999999996,,-0.1133501259445858,3,exit-rule,45.258,,
2015/10/01,47.69,2015/10/06,49.2,1.5100000000000051,3.1662822394632104,1.031662822394632,5.000000000000006,,0.6332564478926413,2,exit-rule,45.305499999999995,,
2015/11/03,49.38,2015/11/05,49.74,0.35999999999999943,0.7290400972053451,1.0072904009720534,5.000000000000003,,0.14580801944106897,1,exit-rule,46.911,,
2015/11/10,48.49,2015/11/20,50,1.509999999999998,3.1140441328108848,1.031140441328109,5.0000000000000036,,0.6228088265621765,7,exit-rule,46.0655,,
2015/12/01,49.28,2015/12/03,49.73,0.44999999999999574,0.9131493506493419,1.0091314935064934,4.9999999999999964,,0.1826298701298685,1,exit-rule,46.816,,
2015/12/07,49.89,2015/12/14,47.3955,-2.494500000000002,-5.000000000000004,0.95,5.000000000000004,,-1,4,stop-loss,47.3955,,
2015/12/16,47.32,2015/12/24,49.59,2.270000000000003,4.797125950972111,1.047971259509721,5,,0.9594251901944224,5,exit-rule,44.954,,
2016/01/06,48.65,2016/01/08,46.2175,-2.4324999999999974,-4.999999999999995,0.9500000000000001,4.999999999999995,,-1,1,stop-loss,46.2175,,
2016/01/12,46.02,2016/02/19,46.66,0.6399999999999935,1.3906996957844273,1.0139069969578443,5.0000000000000036,,0.27813993915688523,26,exit-rule,43.719,,
2016/02/25,46.08,2016/03/02,47.09,1.0100000000000051,2.1918402777777892,1.021918402777778,5.000000000000004,,0.4383680555555574,3,exit-rule,43.775999999999996,,
2016/03/30,47.73,2016/04/01,47.7,-0.02999999999999403,-0.06285355122563174,0.9993714644877437,4.9999999999999964,,-0.012570710245126359,1,exit-rule,45.3435,,
2016/04/05,47.15,2016/04/15,48.35,1.2000000000000028,2.545068928950165,1.0254506892895017,5.0000000000000036,,0.5090137857900326,7,exit-rule,44.7925,,
2016/06/03,50.59,2016/06/07,51.06,0.46999999999999886,0.9290373591618875,1.0092903735916188,4.999999999999997,,0.18580747183237759,1,exit-rule,48.060500000000005,,
2016/06/14,49.76,2016/07/12,50.32,0.5600000000000023,1.1254019292604547,1.0112540192926045,5,,0.22508038585209098,19,exit-rule,47.272,,
2016/08/30,52,2016/09/12,49.4,-2.6000000000000014,-5.000000000000003,0.95,5.000000000000003,,-1,8,stop-loss,49.4,,
2016/09/14,49.2,2016/09/23,51.14,1.9399999999999977,3.943089430894304,1.039430894308943,5.000000000000002,,0.7886178861788606,6,exit-rule,46.74,,
2016/10/03,51.01,2016/10/05,51.1,0.09000000000000341,0.17643599294256698,1.0017643599294257,5,,0.035287198588513397,1,exit-rule,48.4595,,
2016/10/14,50.86,2016/10/20,50.91,0.04999999999999716,0.09830908375933378,1.0009830908375934,4.999999999999999,,0.019661816751866762,3,exit-rule,48.317,,
2016/10/25,50.67,2016/11/09,48.1365,-2.5335000000000036,-5.000000000000007,0.95,5.000000000000007,,-1,10,stop-loss,48.1365,,
2016/11/11,50.09,2016/11/15,50.13,0.03999999999999915,0.0798562587342766,1.0007985625873428,5,,0.01597125174685532,1,exit-rule,47.5855,,
2016/11/17,49.78,2016/11/21,50.37,0.5899999999999963,1.1852149457613426,1.0118521494576134,4.999999999999994,,0.23704298915226876,1,exit-rule,47.291000000000004,,
2017/01/23,53.09,2017/01/30,53.11,0.01999999999999602,0.037671877943107966,1.000376718779431,4.999999999999997,,0.007534375588621597,3,exit-rule,50.435500000000005,,
2017/02/01,52.6,2017/02/13,53.57,0.9699999999999989,1.8441064638783249,1.0184410646387831,5.000000000000004,,0.3688212927756646,7,exit-rule,49.97,,
